Unnamed: 0;código tipo;Descrição tipo;código;Descrição código
;4;Ritos Menores;826;Ofic. do Rito de Bodas
;4;Ritos Menores;827;Acólito no Rito de Bodas
;4;Ritos Menores;830;Ofic. do Ritual de Exéquias
;4;Ritos Menores;831;Ofic. do Rito de Exéquias
;4;Ritos Menores;832;Acólito no Rito de Exéquias
;4;Ritos Menores;833;Guardião no Rito de Exéquias
;4;Ritos Menores;850;Ofic. do Ritual de Desmagnetização
;4;Ritos Menores;851;Ofic. do Rito de Desmagnetização
;4;Ritos Menores;852;Acólito no Rito de Desmagnetização
;4;Ritos Menores;860;Ofic. no Ritual de Plenilúnio
;4;Ritos Menores;861;Acólito no Ritual de Plenilúnio
;4;Ritos Menores;862;Ofic. no Ritual de Plenilúnio de Pacientes
;4;Ritos Menores;863;Acólito no Ritual de Plenilúnio de Pacientes
;4;Ritos Menores;870;Ofic. do Rito de Purificação da Casa Templária
;4;Ritos Menores;871;Mestre de Cerimônia do Rito de Purificação da Casa Templária
;4;Ritos Menores;872;Guardião do Rito de Purificação da Casa Templária
;4;Ritos Menores;873;Acólito portador do Fogareiro no Rito de Purificação da Casa Templária
;4;Ritos Menores;874;Acólito portador da Tocha no Rito de Purificação da Casa Templária
;4;Ritos Menores;875;Acólito portador da Água no Rito de Purificação da Casa Templária
;4;Ritos Menores;876;Acólito portador de Círio no Rito de Purificação da Casa Templária
;4;Ritos Menores;880;Ofic. do Rito do Dia Mundial da Grande Invocação
;4;Ritos Menores;881;Acólito do Rito do Dia Mundial da Grande Invocação
;4;Ritos Menores;882;Dirigente da Palestra T.Menor do Rito do Dia Mundial da Grande Invocação
;4;Ritos Menores;883;Acólito na Palestra T.Menor do Rito do Dia Mundial da Grande Invocação
;4;Ritos Menores;890;Ofic. do Rito de Purificação das Vestes da Sagr. Sacerdotal
;4;Ritos Menores;891;Acólito em Rito de Purificação das Vestes da Sagr. Sacerdotal
;4;Ritos Menores;892;Ofic. do Rito de Comunhão e Oferenda das Vestes da Sagr. Sacerdotal
;4;Ritos Menores;893;Acólito em Rito de Com. e Oferenda das Vestes da Sagr. Sacerdotal
;4;Ritos Menores;895;Ofic. do Rito de Harmonização em Santuário
;4;Ritos Menores;896;Acólito em Rito de Harmonização em Santuário
;4;Ritos Menores;897;Ofic. de Rito de preparação de cordão
;4;Ritos Menores;898;Acólito em Rito de preparação de cordão
;5;Instrutoria;900;Cargos de Instrutoria e assemelhados
;5;Instrutoria;901;Instrutor do GTPré
;5;Instrutoria;902;Instrutor Auxiliar do GTPré
;5;Instrutoria;903;Auxiliar de Instrução no GTPré
;5;Instrutoria;904;Secretaria do GTPré
;5;Instrutoria;911;Instrutor de 1º Grau
;5;Instrutoria;912;Instrutor Auxiliar de 1º Grau
;5;Instrutoria;913;Auxiliar de Instrução no 1º Grau
;5;Instrutoria;914;Auxiliar de grau no 1º Grau
;5;Instrutoria;921;Instrutor de 2º Grau
;5;Instrutoria;922;Instrutor Auxiliar de 2º Grau
;5;Instrutoria;923;Auxiliar de Instrução no 2º Grau
;5;Instrutoria;924;Auxiliar de grau no 2º Grau
;5;Instrutoria;931;Instrutor de 3º Grau
;5;Instrutoria;932;Instrutor Auxiliar de 3º Grau
;5;Instrutoria;933;Auxiliar de Instrução no 3º Grau
;5;Instrutoria;934;Auxiliar de grau no 3º Grau
;5;Instrutoria;941;Instrutor de 4º Grau
;5;Instrutoria;942;Instrutor Auxiliar de 4º Grau
;5;Instrutoria;943;Auxiliar de Instrução no 4º Grau
;5;Instrutoria;944;Auxiliar de grau no 4º Grau
;5;Instrutoria;951;Instrutor de 5º Grau
;5;Instrutoria;952;Instrutor Auxiliar de 5º Grau
;5;Instrutoria;953;Auxiliar de Instrução no 5º Grau
;5;Instrutoria;954;Auxiliar de grau no 5º Grau
;5;Instrutoria;961;Instrutor do Colégio Sacerdotal
;5;Instrutoria;962;Instrutor Auxiliar do Colégio Sacerdotal
;5;Instrutoria;963;Auxiliar de grau no Colégio Sacerdotal
;5;Instrutoria;971;Instrutor Auxiliar do Colégio Sacerdotal (Instr. Coleginho)
;5;Instrutoria;972;Auxiliar de Instrução no Colégio Sacerdotal (Coleginho)
;5;Instrutoria;973;Auxiliar de grau no Colégio Sacerdotal (Coleginho)
;5;Instrutoria;981;..... substituir pelo cód 50 administrativo
;5;Instrutoria;982;...... substituir pelo cód 51 administrativo
;5;Instrutoria;991;Sac. Convocado p/prova de verificação e aprendizagem 1ºgrau (2ª iniciação)
;5;Instrutoria;992;Sac. Convocado p/prova de verificação e aprendizagem 2ºgrau (3ª iniciação)
;5;Instrutoria;993;Sac. Convocado p/prova de verificação e aprendizagem 3ºgrau (4ª iniciação)
;5;Instrutoria;994;Sac. Convocado p/prova de verificação e aprendizagem 4ºgrau (5ª iniciação)
;5;Instrutoria;995;Sac. Convocado p/secretaria de verificação e aprendizagem 1ºgrau (2ª iniciação)
;5;Instrutoria;996;Sac. Convocado p/secretaria de verificação e aprendizagem 2ºgrau (3ª iniciação)
;5;Instrutoria;997;Sac. Convocado p/secretaria de verificação e aprendizagem 3ºgrau (4ª iniciação)
;5;Instrutoria;998;Sac. Convocado p/secretaria de verificação e aprendizagem 4ºgrau (5ª iniciação)
;5;Instrutoria;999;Sac. Convocado p/aferição de Tônica
;6;Punições;1000;Códigos das Punições
;6;Punições;1010;Falta disciplinar
;6;Punições;1020;Advertência verbal
;6;Punições;1030;Advertência escrita
;6;Punições;1040;Suspensão
;6;Punições;1050;Exclusão disciplinar administrativa
;6;Punições;1060;Exclusão disciplinar grave
;6;Punições;1110;Desligado do 1º grau por carência
;6;Punições;1120;Desligado do 2º grau por carência
;6;Punições;1130;Desligado do 3º grau por carência
;6;Punições;1140;Desligado do 4º grau por carência
;6;Punições;1150;Desligado do 5º grau por carência
;6;Punições;1160;Desligado do coleginho por carência
