Unnamed: 0;código tipo;Descrição tipo;código;Descrição código
;3;Ritos Maiores;143;Discípulo (ou Sac.) em oficio no Elem. Água da 1ª Inic.
;3;Ritos Maiores;144;Discípulo (ou Sac.) em oficio no Elem. Fogo da 1ª Inic.
;3;Ritos Maiores;145;Discípulo (ou Sac.) em oficio no Elem. Ar da 1ª Inic.
;3;Ritos Maiores;146;Aprendiz (Companheiro ou Mestre) Acólito no Elem. Terra da 1ª Inic.
;3;Ritos Maiores;147;Aprendiz (Companheiro ou Mestre) Acólito no Elem. Água da 1ª Inic.
;3;Ritos Maiores;148;Aprendiz (Companheiro ou Mestre) Acólito no Elem. Fogo da 1ª Inic.
;3;Ritos Maiores;149;Aprendiz (Companheiro ou Mestre) Acólito no Elem. Ar da 1ª Inic.
;3;Ritos Maiores;150;Sac. Ofic. do Rito da Harmonização e Purificação da 1ª Inic.
;3;Ritos Maiores;151;Sac. Ac. do Ofic. do Rito da Harmonização e Purificação da 1ª Inic.
;3;Ritos Maiores;152;Sac. Ofic. do Rito da Harmonização Grupal da 1ª Inic.
;3;Ritos Maiores;153;Sac. Ac. do Ofic. do Rito da Harmonização Grupal da 1ª Inic.
;3;Ritos Maiores;154;Discípulo Ac. do Ofic. do Rito da Harmonização Grupal da 1ª Inic.
;3;Ritos Maiores;155;Apóstolo Ac. do Ofic. do Rito da Harmonização Grupal da 1ª Inic.
;3;Ritos Maiores;156;Mestre Ac. do Ofic. do Rito da Harmonização Grupal da 1ª Inic.
;3;Ritos Maiores;157;Companheiro Ac. do Ofic. do Rito da Harmonização Grupal da 1ª Inic.
;3;Ritos Maiores;158;Aprendiz Ac. do Ofic. do Rito da Harmonização Grupal da 1ª Inic.
;3;Ritos Maiores;160;Sac. Ofic. do Rito de Apres. e Vinc. c/a Egregora de Santuário da 1ª Inic.
;3;Ritos Maiores;161;Sac. Ac. do Ofic. do Rito de Apres. e Vinc. c/a Egreg. de Santuário da 1ª Inic.
;3;Ritos Maiores;165;Sac. Ofic. do Rito da Purificação Grupal da 1ª Inic.
;3;Ritos Maiores;166;Sac. Ac. do Ofic. do Rito da Purificação Grupal da 1ª Inic.
;3;Ritos Maiores;167;Discípulo Ac. do Ofic. do Rito da Purificação Grupal da 1ª Inic.
;3;Ritos Maiores;200;Funções nos ritos de 2ª iniciação
;3;Ritos Maiores;201;Sac. Ofic. do Ritual da 2ª Iniciação
;3;Ritos Maiores;202;Sac. Ac. Imediato do Ofic. do Ritual da 2ª Inic.
;3;Ritos Maiores;205;Sac. Mestre de Cerimônias da 2ª Inic.
;3;Ritos Maiores;206;Sac. Ac. do Mestre de Cerimôrias da 2ª Inic.
;3;Ritos Maiores;207;Díscipulo Ac. do Mestre de Cerimôrias da 2ª Inic.
;3;Ritos Maiores;208;Apóstolo Ac. do Mestre de Cerimôrias da 2ª Inic.
;3;Ritos Maiores;209;Mestre Ac. do Mestre de Cerimôrias da 2ª Inic.
;3;Ritos Maiores;215;Sac. Guardião do Ritual da 2ª Inic.
;3;Ritos Maiores;216;Sac. Ac. do Guardião do Ritual da 2ª Inic.
;3;Ritos Maiores;217;Díscipulo Ac. do Guardião do Ritual da 2ª Inic.
;3;Ritos Maiores;218;Apóstolo Ac. do Guardião do Ritual da 2ª Inic.
;3;Ritos Maiores;219;Mestre Ac. do Guardião do Ritual da 2ª Inic.
;3;Ritos Maiores;220;Sac. Ofic. dos Ritos Preparatórios da 2ª Inic.
;3;Ritos Maiores;221;Sac. Ac. do Ofic. dos Ritos Preparatórios da 2ª Inic.
;3;Ritos Maiores;225;Sac. Ofic. do Rito da Harmonização e Vinculação em Santuário da 2ª Inic.
;3;Ritos Maiores;226;Sac. Ac. do Ofic. do Rito da Harm. e Vinculação em Santuário da 2ª Inic.
;3;Ritos Maiores;227;Díscipulo Ac. do Ofic. do Rito da Harm. e Vinculação em Santuário da 2ª Inic.
;3;Ritos Maiores;228;Apóstolo Ac. do Ofic. do Rito da Harm. e Vinculação em Santuário da 2ª Inic.
;3;Ritos Maiores;229;Mestre (ou Companheiro) Ac. do Ofic. do Rito da Harm. e Vinculação em Santuário da 2ª Inic.
;3;Ritos Maiores;230;Sac. Ofic. do Ritual Externo da 2ª Inic.
;3;Ritos Maiores;231;Sac. Ac. do Ofic. do Ritual Externo da 2ª Inic.
;3;Ritos Maiores;232;Guardião dos Implementos no Ritual Externo da 2ª Inic. - (Portador)
;3;Ritos Maiores;233;Portador da Espada no Ritual Externo da 2ª Inic.
;3;Ritos Maiores;234;Portador da Taça no Ritual Externo da 2ª Inic.
;3;Ritos Maiores;235;Sac. Ofic. do Rito Prep./Cons. do Templo da Estrela Rit. Ext. da 2ª Inic.
;3;Ritos Maiores;236;Sac. Ac. do Ofic. do Rito Prep./Cons. do Templo da Estrela Rit. Ext. da 2ª Inic.
;3;Ritos Maiores;237;Díscipulo Ac. no Rito Prep./Cons. do Templo da Estrela Rit. Ext. da 2ª Inic.
;3;Ritos Maiores;238;Apóstolo Ac. no Rito Prep./Cons. do Templo da Estrela Rit. Ext. da 2ª Inic.
;3;Ritos Maiores;239;Mestre Ac. no Rito Prep./Cons. do Templo da Estrela Rit. Ext. da 2ª Inic.
;3;Ritos Maiores;240;Sac. Ofic. do Rito Batismal no Ritual Externo da 2ª Inic.
;3;Ritos Maiores;241;Sac. Ac. do Ofic. do Rito Batismal no Ritual Externo da 2ª Inic.
;3;Ritos Maiores;242;Discípulo Ac. Batizadores no Rito Batismal no Ritual Externo da 2ª Inic.
;3;Ritos Maiores;243;Apóstolo Ac. dos Batizadores no Rito Batismal no Ritual Externo da 2ª Inic.
;3;Ritos Maiores;244;Mestre Ac. dos Batizadores no Rito Batismal no Ritual Externo da 2ª Inic.
;3;Ritos Maiores;250;Sac. Ofic. do Rito da Purif. e Dinamização dos Centros da 2ª Inic.
;3;Ritos Maiores;251;Sac. Ac. do Ofic. do Rito da Purif. e Dinamização dos Centros da 2ª Inic.
;3;Ritos Maiores;252;Discípulo Ac. do Ofic. do Rito da Purif. e Dinamização dos Centros da 2ª Inic.
;3;Ritos Maiores;253;Apóstolo Ac. do Ofic. do Rito da Purif. e Dinamização dos Centros da 2ª Inic.
;3;Ritos Maiores;260;Sac. Ofic. do Rito da Selagem da 2ª Inic.
;3;Ritos Maiores;261;Sac. Ac. do Ofic. do Rito da Selagem da 2ª Inic.
;3;Ritos Maiores;265;Sac. Ofic. do Rito da Palestra no Ritual da Selagem da 2ª Inic.
;3;Ritos Maiores;266;Sac. Ac. do Ofic. do Rito da Palestra no Ritual da Selagem da 2ª Inic.
;3;Ritos Maiores;270;Sac. Ofic. do Rito da Confissão da 2ª Inic.
;3;Ritos Maiores;271;Sac. Ac. do Ofic. do Rito da Confissão da 2ª Inic.
;3;Ritos Maiores;275;Sac. Ofic. do Rito da Comunhão dos Iniciados da 2ª Inic.
;3;Ritos Maiores;276;Sac. Ac. do Ofic. do Rito da Comunhão dos Iniciados da 2ª Inic.
;3;Ritos Maiores;280;Sac. Ofic. do Rito da Vinculação dos Cordões da 2ª Inic.
;3;Ritos Maiores;281;Sac. Ac. do Ofic. do Rito da Vinculação dos Cordões da 2ª Inic.
;3;Ritos Maiores;285;Sac. Ofic. do Rito dos Nós da 2ª Inic.
;3;Ritos Maiores;286;Sac. Ac. do Ofic. do Rito dos Nós da 2ª Inic.
;3;Ritos Maiores;290;Sac. Ofic. do Rito da Palestra no Ritual da Confirmação da 2ª Inic.
;3;Ritos Maiores;291;Sac. Ac. do Ofic. do Rito da Palestra no Ritual da Confirmação da 2ª Inic.
;3;Ritos Maiores;300;Funções nos ritos de 3ª iniciação
;3;Ritos Maiores;301;Sac. Ofic. do Ritual da 3ª Iniciação
;3;Ritos Maiores;302;Sac. Ac. Imediato do Ofic. do Ritual da 3ª Inic.
;3;Ritos Maiores;305;Sac. Mestre de Cerimônias da 3ª Inic.
;3;Ritos Maiores;306;Sac. Ac. do Mestre de Cerimôrias da 3ª Inic.
;3;Ritos Maiores;307;Discípulo Ac. do Mestre de Cerimôrias da 3ª Inic.
;3;Ritos Maiores;308;Apóstolo Ac. do Mestre de Cerimôrias da 3ª Inic.
;3;Ritos Maiores;309;Mestre Ac. do Mestre de Cerimôrias da 3ª Inic.
;3;Ritos Maiores;315;Sac. Guardião do Ritual da 3ª Inic.
;3;Ritos Maiores;316;Sac. Ac. do Guardião do Ritual da 3ª Inic.
;3;Ritos Maiores;317;Discípulo Ac. do Guardião do Ritual da 3ª Inic.
;3;Ritos Maiores;318;Apóstolo Ac. do Guardião do Ritual da 3ª Inic.
;3;Ritos Maiores;319;Mestre Ac. do Guardião do Ritual da 3ª Inic.
;3;Ritos Maiores;320;Sac. Ofic. dos Ritos Preparatórios da 3ª Inic.
;3;Ritos Maiores;321;Sac. Ac. do Ofic. dos Ritos Preparatórios da 3ª Inic.
;3;Ritos Maiores;322;Discípulo Ac. do Ofic. dos Ritos Preparatórios da 3ª Inic.
;3;Ritos Maiores;340;Sac. Ofic. do Ritual Externo da 3ª Inic.
