nome,tipo,descricao
149,Ritos Maiores,Aprendiz (Companheiro ou Mestre) Acólito no Elem. Ar da 1ª Inic.
150,Ritos Maiores,Sac. Ofic. do Rito da Harmonização e Purificação da 1ª Inic.
151,Ritos Maiores,Sac. Ac. do Ofic. do Rito da Harmonização e Purificação da 1ª Inic.
152,Ritos Maiores,Sac. Ofic. do Rito da Harmonização Grupal da 1ª Inic.
153,Ritos Maiores,Sac. Ac. do Ofic. do Rito da Harmonização Grupal da 1ª Inic.
154,Ritos Maiores,Discípulo Ac. do Ofic. do Rito da Harmonização Grupal da 1ª Inic.
155,Ritos Maiores,Apóstolo Ac. do Ofic. do Rito da Harmonização Grupal da 1ª Inic.
156,Ritos Maiores,Mestre Ac. do Ofic. do Rito da Harmonização Grupal da 1ª Inic.
157,Ritos Maiores,Companheiro Ac. do Ofic. do Rito da Harmonização Grupal da 1ª Inic.
158,Ritos Maiores,Aprendiz Ac. do Ofic. do Rito da Harmonização Grupal da 1ª Inic.
160,Ritos Maiores,Sac. Ofic. do Rito de Apres. e Vinc. c/a Egregora de Santuário da 1ª Inic.
161,Ritos Maiores,Sac. Ac. do Ofic. do Rito de Apres. e Vinc. c/a Egreg. de Santuário da 1ª Inic.
165,Ritos Maiores,Sac. Ofic. do Rito da Purificação Grupal da 1ª Inic.
166,Ritos Maiores,Sac. Ac. do Ofic. do Rito da Purificação Grupal da 1ª Inic.
167,Ritos Maiores,Discípulo Ac. do Ofic. do Rito da Purificação Grupal da 1ª Inic.
200,Ritos Maiores,Funções nos ritos de 2ª iniciação
201,Ritos Maiores,Sac. Ofic. do Ritual da 2ª Iniciação
202,Ritos Maiores,Sac. Ac. Imediato do Ofic. do Ritual da 2ª Inic.
205,Ritos Maiores,Sac. Mestre de Cerimônias da 2ª Inic.
206,Ritos Maiores,Sac. Ac. do Mestre de Cerimôrias da 2ª Inic.
207,Ritos Maiores,Díscipulo Ac. do Mestre de Cerimôrias da 2ª Inic.
208,Ritos Maiores,Apóstolo Ac. do Mestre de Cerimôrias da 2ª Inic.
209,Ritos Maiores,Mestre Ac. do Mestre de Cerimôrias da 2ª Inic.
215,Ritos Maiores,Sac. Guardião do Ritual da 2ª Inic.
216,Ritos Maiores,Sac. Ac. do Guardião do Ritual da 2ª Inic.
217,Ritos Maiores,Díscipulo Ac. do Guardião do Ritual da 2ª Inic.
218,Ritos Maiores,Apóstolo Ac. do Guardião do Ritual da 2ª Inic.
219,Ritos Maiores,Mestre Ac. do Guardião do Ritual da 2ª Inic.
220,Ritos Maiores,Sac. Ofic. dos Ritos Preparatórios da 2ª Inic.
221,Ritos Maiores,Sac. Ac. do Ofic. dos Ritos Preparatórios da 2ª Inic.
225,Ritos Maiores,Sac. Ofic. do Rito da Harmonização e Vinculação em Santuário da 2ª Inic.
226,Ritos Maiores,Sac. Ac. do Ofic. do Rito da Harm. e Vinculação em Santuário da 2ª Inic.
227,Ritos Maiores,Díscipulo Ac. do Ofic. do Rito da Harm. e Vinculação em Santuário da 2ª Inic.
228,Ritos Maiores,Apóstolo Ac. do Ofic. do Rito da Harm. e Vinculação em Santuário da 2ª Inic.
229,Ritos Maiores,Mestre (ou Companheiro) Ac. do Ofic. do Rito da Harm. e Vinculação em Santuário da 2ª Inic.
230,Ritos Maiores,Sac. Ofic. do Ritual Externo da 2ª Inic.
231,Ritos Maiores,Sac. Ac. do Ofic. do Ritual Externo da 2ª Inic.
232,Ritos Maiores,Guardião dos Implementos no Ritual Externo da 2ª Inic. - (Portador)
233,Ritos Maiores,Portador da Espada no Ritual Externo da 2ª Inic.
234,Ritos Maiores,Portador da Taça no Ritual Externo da 2ª Inic.
235,Ritos Maiores,Sac. Ofic. do Rito Prep./Cons. do Templo da Estrela Rit. Ext. da 2ª Inic.
236,Ritos Maiores,Sac. Ac. do Ofic. do Rito Prep./Cons. do Templo da Estrela Rit. Ext. da 2ª Inic.
237,Ritos Maiores,Díscipulo Ac. no Rito Prep./Cons. do Templo da Estrela Rit. Ext. da 2ª Inic.
238,Ritos Maiores,Apóstolo Ac. no Rito Prep./Cons. do Templo da Estrela Rit. Ext. da 2ª Inic.
239,Ritos Maiores,Mestre Ac. no Rito Prep./Cons. do Templo da Estrela Rit. Ext. da 2ª Inic.
240,Ritos Maiores,Sac. Ofic. do Rito Batismal no Ritual Externo da 2ª Inic.
241,Ritos Maiores,Sac. Ac. do Ofic. do Rito Batismal no Ritual Externo da 2ª Inic.
242,Ritos Maiores,Discípulo Ac. Batizadores no Rito Batismal no Ritual Externo da 2ª Inic.
243,Ritos Maiores,Apóstolo Ac. dos Batizadores no Rito Batismal no Ritual Externo da 2ª Inic.
244,Ritos Maiores,Mestre Ac. dos Batizadores no Rito Batismal no Ritual Externo da 2ª Inic.
250,Ritos Maiores,Sac. Ofic. do Rito da Purif. e Dinamização dos Centros da 2ª Inic.
251,Ritos Maiores,Sac. Ac. do Ofic. do Rito da Purif. e Dinamização dos Centros da 2ª Inic.
252,Ritos Maiores,Discípulo Ac. do Ofic. do Rito da Purif. e Dinamização dos Centros da 2ª Inic.
253,Ritos Maiores,Apóstolo Ac. do Ofic. do Rito da Purif. e Dinamização dos Centros da 2ª Inic.
260,Ritos Maiores,Sac. Ofic. do Rito da Selagem da 2ª Inic.
261,Ritos Maiores,Sac. Ac. do Ofic. do Rito da Selagem da 2ª Inic.
265,Ritos Maiores,Sac. Ofic. do Rito da Palestra no Ritual da Selagem da 2ª Inic.
266,Ritos Maiores,Sac. Ac. do Ofic. do Rito da Palestra no Ritual da Selagem da 2ª Inic.
270,Ritos Maiores,Sac. Ofic. do Rito da Confissão da 2ª Inic.
271,Ritos Maiores,Sac. Ac. do Ofic. do Rito da Confissão da 2ª Inic.
275,Ritos Maiores,Sac. Ofic. do Rito da Comunhão dos Iniciados da 2ª Inic.
276,Ritos Maiores,Sac. Ac. do Ofic. do Rito da Comunhão dos Iniciados da 2ª Inic.
280,Ritos Maiores,Sac. Ofic. do Rito da Vinculação dos Cordões da 2ª Inic.
281,Ritos Maiores,Sac. Ac. do Ofic. do Rito da Vinculação dos Cordões da 2ª Inic.
285,Ritos Maiores,Sac. Ofic. do Rito dos Nós da 2ª Inic.
286,Ritos Maiores,Sac. Ac. do Ofic. do Rito dos Nós da 2ª Inic.
290,Ritos Maiores,Sac. Ofic. do Rito da Palestra no Ritual da Confirmação da 2ª Inic.
291,Ritos Maiores,Sac. Ac. do Ofic. do Rito da Palestra no Ritual da Confirmação da 2ª Inic.
300,Ritos Maiores,Funções nos ritos de 3ª iniciação
301,Ritos Maiores,Sac. Ofic. do Ritual da 3ª Iniciação
302,Ritos Maiores,Sac. Ac. Imediato do Ofic. do Ritual da 3ª Inic.
305,Ritos Maiores,Sac. Mestre de Cerimônias da 3ª Inic.
306,Ritos Maiores,Sac. Ac. do Mestre de Cerimôrias da 3ª Inic.
307,Ritos Maiores,Discípulo Ac. do Mestre de Cerimôrias da 3ª Inic.
308,Ritos Maiores,Apóstolo Ac. do Mestre de Cerimôrias da 3ª Inic.
309,Ritos Maiores,Mestre Ac. do Mestre de Cerimôrias da 3ª Inic.
315,Ritos Maiores,Sac. Guardião do Ritual da 3ª Inic.
316,Ritos Maiores,Sac. Ac. do Guardião do Ritual da 3ª Inic.
317,Ritos Maiores,Discípulo Ac. do Guardião do Ritual da 3ª Inic.
318,Ritos Maiores,Apóstolo Ac. do Guardião do Ritual da 3ª Inic.
319,Ritos Maiores,Mestre Ac. do Guardião do Ritual da 3ª Inic.
320,Ritos Maiores,Sac. Ofic. dos Ritos Preparatórios da 3ª Inic.
321,Ritos Maiores,Sac. Ac. do Ofic. dos Ritos Preparatórios da 3ª Inic.
322,Ritos Maiores,Discípulo Ac. do Ofic. dos Ritos Preparatórios da 3ª Inic.
340,Ritos Maiores,Sac. Ofic. do Ritual Externo da 3ª Inic.
341,Ritos Maiores,Sac. Ac. Imediato do Ofic. do Ritual Externo da 3ª Inic.
342,Ritos Maiores,Sac. Ac. do Ofic. do Ritual Externo da 3ª Inic.
343,Ritos Maiores,Sac. Ac. do Ofic. do Ritual Externo da 3ª Inic. - Portador da Capa
344,Ritos Maiores,Sac. Ac. do Ofic. do Ritual Externo da 3ª Inic. - Portador da Tocha
345,Ritos Maiores,Sac. Ac. do Ofic. do Ritual Externo da 3ª Inic. - Portador dos Implementos
350,Ritos Maiores,Sac. Ofic. do Rito do Batismo de Fogo e Sacrifício da 3ª Inic.
351,Ritos Maiores,Sac. Ac. do Ofic. do Rito do Batismo de Fogo e Sacrifício da 3ª Inic.
360,Ritos Maiores,Sac. Ofic. do Rito da Construção da Estrela da 3ª Inic.
361,Ritos Maiores,Sac. Ac. do Ofic. do Rito da Construção da Estrela da 3ª Inic.
362,Ritos Maiores,Discípulo Ac. do Ofic. do Rito da Construção da Estrela da 3ª Inic.
363,Ritos Maiores,Apóstolo Ac. do Ofic. do Rito da Construção da Estrela da 3ª Inic.
364,Ritos Maiores,Mestre Ac. do Ofic. do Rito da Construção da Estrela da 3ª Inic.
370,Ritos Maiores,Sac. Ofic. do Ritual da Comunhão de Fogo da 3ª Inic.
371,Ritos Maiores,Sac. Ac. Imediato do Ofic. do Ritual da Comunhão de Fogo da 3ª Inic.
372,Ritos Maiores,Sac. Ofic. do Ritual da Comunhão dos Iniciados da 3ª Inic.
373,Ritos Maiores,Sac. Ac. do Ofic. do Ritual da Comunhão dos Iniciados da 3ª Inic.
374,Ritos Maiores,Sac. Ofic. do Rito da Palestra da 3ª Inic.
375,Ritos Maiores,Sac. Ac. do Ofic. do Rito da Palestra da 3ª Inic.
380,Ritos Maiores,Sac. Ofic. do Ritual da Confirmação da 3ª Inic.
381,Ritos Maiores,Sac. Ac. do Ofic. do Ritual da Confirmação da 3ª Inic.
385,Ritos Maiores,Sac. Ofic. do Rito do Compromisso da 3ª Inic.
386,Ritos Maiores,Sac. Ac. do Ofic. do Rito do Compromisso da 3ª Inic.
387,Ritos Maiores,Discípulo Ac. do Ofic. do Compromisso da 3ª Inic.
