nome,tipo,descricao
897,Ritos Menores,Ofic. de Rito de preparação de cordão
898,Ritos Menores,Acólito em Rito de preparação de cordão
900,Instrutoria,Cargos de Instrutoria e assemelhados
901,Instrutoria,Instrutor do GTPré
902,Instrutoria,Instrutor Auxiliar do GTPré
903,Instrutoria,Auxiliar de Instrução no GTPré
904,Instrutoria,Secretaria do GTPré
911,Instrutoria,Instrutor de 1º Grau
912,Instrutoria,Instrutor Auxiliar de 1º Grau
913,Instrutoria,Auxiliar de Instrução no 1º Grau
914,Instrutoria,Auxiliar de grau no 1º Grau
921,Instrutoria,Instrutor de 2º Grau
922,Instrutoria,Instrutor Auxiliar de 2º Grau
923,Instrutoria,Auxiliar de Instrução no 2º Grau
924,Instrutoria,Auxiliar de grau no 2º Grau
931,Instrutoria,Instrutor de 3º Grau
932,Instrutoria,Instrutor Auxiliar de 3º Grau
933,Instrutoria,Auxiliar de Instrução no 3º Grau
934,Instrutoria,Auxiliar de grau no 3º Grau
941,Instrutoria,Instrutor de 4º Grau
942,Instrutoria,Instrutor Auxiliar de 4º Grau
943,Instrutoria,Auxiliar de Instrução no 4º Grau
944,Instrutoria,Auxiliar de grau no 4º Grau
951,Instrutoria,Instrutor de 5º Grau
952,Instrutoria,Instrutor Auxiliar de 5º Grau
953,Instrutoria,Auxiliar de Instrução no 5º Grau
954,Instrutoria,Auxiliar de grau no 5º Grau
961,Instrutoria,Instrutor do Colégio Sacerdotal
962,Instrutoria,Instrutor Auxiliar do Colégio Sacerdotal
963,Instrutoria,Auxiliar de grau no Colégio Sacerdotal
971,Instrutoria,Instrutor Auxiliar do Colégio Sacerdotal (Instr. Coleginho)
972,Instrutoria,Auxiliar de Instrução no Colégio Sacerdotal (Coleginho)
973,Instrutoria,Auxiliar de grau no Colégio Sacerdotal (Coleginho)
981,Instrutoria,..... substituir pelo cód 50 administrativo
982,Instrutoria,...... substituir pelo cód 51 administrativo
991,Instrutoria,Sac. Convocado p/prova de verificação e aprendizagem 1ºgrau (2ª iniciação)
992,Instrutoria,Sac. Convocado p/prova de verificação e aprendizagem 2ºgrau (3ª iniciação)
993,Instrutoria,Sac. Convocado p/prova de verificação e aprendizagem 3ºgrau (4ª iniciação)
994,Instrutoria,Sac. Convocado p/prova de verificação e aprendizagem 4ºgrau (5ª iniciação)
995,Instrutoria,Sac. Convocado p/secretaria de verificação e aprendizagem 1ºgrau (2ª iniciação)
996,Instrutoria,Sac. Convocado p/secretaria de verificação e aprendizagem 2ºgrau (3ª iniciação)
997,Instrutoria,Sac. Convocado p/secretaria de verificação e aprendizagem 3ºgrau (4ª iniciação)
998,Instrutoria,Sac. Convocado p/secretaria de verificação e aprendizagem 4ºgrau (5ª iniciação)
999,Instrutoria,Sac. Convocado p/aferição de Tônica
1000,Punições,Códigos das Punições
1010,Punições,Falta disciplinar
1020,Punições,Advertência verbal
1030,Punições,Advertência escrita
1040,Punições,Suspensão
1050,Punições,Exclusão disciplinar administrativa
1060,Punições,Exclusão disciplinar grave
1110,Punições,Desligado do 1º grau por carência
1120,Punições,Desligado do 2º grau por carência
1130,Punições,Desligado do 3º grau por carência
1140,Punições,Desligado do 4º grau por carência
1150,Punições,Desligado do 5º grau por carência
1160,Punições,Desligado do coleginho por carência
